speciesCode,comName,taxonOrder,familyCode
"aakspa1","Abd al Kuri Sparrow",31573.0,"passer4"
"abbbab1","Abbott's Babbler",26319.0,"pellor2"
"abbboo2","Abbott's Booby",7332.0,"sulida1"
"abbsta2","Abbott's Starling",27935.0,"sturni1"
"abbwar1","Aberrant Bush Warbler",25184.0,"scotoc1"
"abbwar2","Aberrant Bush Warbler (Aberrant)",25194.0,"scotoc1"
"abbwar3","Aberrant Bush Warbler (Perplexing)",25198.0,"scotoc1"
"abcwin1","Abyssinian Crimsonwing",31235.0,"estril1"
"abdsto1","Abdim's Stork",7284.0,"ciconi2"
"abecis1","Aberdare Cisticola",23510.0,"cistic2"
"abethr1","African Bare-eyed Thrush",28438.0,"turdid1"
"abetow","Abert's Towhee",33344.0,"passer3"
"abgthr1","Abyssinian Ground-Thrush",28377.0,"turdid1"
"abhori1","African Black-headed Oriole",19676.0,"orioli1"
"absbil1","Abyssinian Scimitarbill",9650.0,"phoeni2"
"absfin1","Ash-breasted Sierra Finch",35385.0,"thraup2"
"abttyr1","Ash-breasted Tit-Tyrant",16600.0,"tyrann2"
"abycat1","Abyssinian Catbird",25277.0,"sylvii1"
"abygrt1","Abyssinian Ground-Thrush (Abyssinian)",28378.0,"turdid1"
"abylon1","Abyssinian Longclaw",31939.0,"motaci1"
"abynig1","Montane Nightjar (Abyssinian)",3690.0,"caprim2"
"abyrol2","Abyssinian Roller",10331.0,"coraci1"
"abysis1","Ethiopian Siskin",32588.0,"fringi1"
"abyslf1","Abyssinian Slaty-Flycatcher",28937.0,"muscic3"
"abythr1","Abyssinian Thrush",28460.0,"turdid1"
"abythr2","Abyssinian Thrush (Ngorongoro)",28461.0,"turdid1"
"abythr3","Abyssinian Thrush (Abyssinian)",28462.0,"turdid1"
"abywhe1","Socotra White-eye",25669.0,"zoster2"
"abywoo1","Abyssinian Woodpecker",11279.0,"picida1"
"acafly","Acadian Flycatcher",16950.0,"tyrann2"
"accent1","accentor sp.",31527.0,"prunel1"
"accipi","Accipitrine hawk sp. (former Accipiter sp.)",8304.0,"accipi1"
"acowoo","Acorn Woodpecker",11146.0,"picida1"
"acowoo1","Acorn Woodpecker (Acorn)",11147.0,"picida1"
"acowoo2","Acorn Woodpecker (Narrow-fronted)",11154.0,"picida1"
"acrant1","Acre Antshrike",13607.0,"thamno3"
"acrido1","Acridotheres sp.",27898.0,"sturni1"
"acroce1","Acrocephalus sp.",23771.0,"acroce2"
"acrtot1","Acre Tody-Tyrant",16333.0,"tyrann2"
"adepen1","Adelie Penguin",6941.0,"spheni1"
"aderos1","Crimson Rosella (Adelaide)",12488.0,"psitta4"
"adewar1","Adelaide's Warbler",34191.0,"paruli1"
"adtdov1","Adamawa Turtle-Dove",2021.0,"columb2"
"aerodr1","dark swiftlet sp.",4071.0,"apodid1"
"aethop1","Aethopyga sp.",30594.0,"nectar1"
"afbduc1","African Black Duck",527.0,"anatid1"
"afbfly1","African Blue Flycatcher",21910.0,"stenos1"
"afbowl1","African Barred Owlet",9080.0,"strigi1"
"afbowl2","African Barred Owlet (Spot-fronted)",9081.0,"strigi1"
"afbtit2","African Blue Tit",22124.0,"parida1"
"afbwar1","Little Rush Warbler",23941.0,"locust5"
"afcdov1","African Collared-Dove",2036.0,"columb2"
"afcfly1","African Crested Flycatcher",20675.0,"monarc2"
"afdfly1","African Dusky Flycatcher",28804.0,"muscic3"
"afdwar1","African Desert Warbler",25339.0,"sylvii1"
"afecuc1","African Emerald Cuckoo",3307.0,"cuculi1"
"afecuc2","African Emerald Cuckoo (African)",3308.0,"cuculi1"
"afecuc3","African Emerald Cuckoo (Bioko)",3309.0,"cuculi1"
"afecuc4","African Emerald Cuckoo (Insular)",3310.0,"cuculi1"
"afepig1","Afep Pigeon",1894.0,"columb2"
"affeag1","African Fish-Eagle",8374.0,"accipi1"
"afffin","African Firefinch",31416.0,"estril1"
"afffly1","African Forest-Flycatcher",28888.0,"muscic3"
"afgfly1","African Gray Flycatcher",28852.0,"muscic3"
"afghor1","African Gray Hornbill",9664.0,"bucero1"
"afgori2","African Golden Oriole",19632.0,"orioli1"
"afgowl1","African Grass-Owl",8609.0,"tytoni1"
"afgsno1","Afghan Snowfinch",31664.0,"passer4"
"afgwea1","African Golden-Weaver",30798.0,"plocei1"
"afgwoo1","African Gray Woodpecker (Gray)",11307.0,"picida1"
"afgwoo2","African Gray Woodpecker (Sahel)",11306.0,"picida1"
"afhbab1","African Hill Babbler",25279.0,"sylvii1"
"afhbab2","African Hill Babbler (African)",25283.0,"sylvii1"
"afhbab3","Rwenzori Hill Babbler",25286.0,"sylvii1"
